id,surname,forename,initials,age_text,honours,date_of_death,date_of_death2,rank,regiment,secondary_regiment,unitshipsquadron,country,servicenumberexport,cemeterymemorial,gravereference,additionalinformation,
2662996,COSLETT-THOMAS,OSCAR DONALD,O D,,,03/03/1945,,Private,"Queen's Own Cameron Highlanders of Canada, R.C.I.C.",,,Netherlands,'H/22281',GROESBEEK CANADIAN WAR CEMETERY,XXI. F. 16.,
1713893,THOMAS,WILLIAM GORDON,W G,31,,26/09/1944,,Lieutenant,"4th Princess Louise Dragoon Guards, R.C.A.C.",,,Italy,,CESENA WAR CEMETERY,"VIII, E, 3.","Son of John and Agnes Thomas, of Bell's Corners, Ontario, Canada; husband of Theda L. Thomas, of Carp, Ontario."
1717176,THOMAS,GEORGE,G,25,,25/11/1944,,Trooper,"Ontario Regiment, R.C.A.C.",,11th Armd. Regt.,Italy,'A/466',BOLOGNA WAR CEMETERY,"I, B, 4.","Son of Thomas and Elizabeth Thomas; husband of Bessie A. Thomas, of Orillia, Ontario, Canada."
1808639,THOMAS,CHARLES RICHARD,C R,27,,23/06/1943,,Flying Officer,Royal Canadian Air Force,,,United Kingdom,'J/13729',RUNNYMEDE MEMORIAL,Panel 175.,"Son of George and Louisa Thomas, of Vancouver, British Columbia, Canada."
1808648,THOMAS,EDWARD,E,,,04/06/1942,,Flight Sergeant,Royal Canadian Air Force,,415 Sqdn.,United Kingdom,'R/70743',RUNNYMEDE MEMORIAL,Panel 107.,
1808683,THOMAS,SETH MARK,S M,24,,13/12/1942,,Flight Sergeant,Royal Canadian Air Force,,,United Kingdom,'R/92802',RUNNYMEDE MEMORIAL,Panel 107.,"Son of Seth H. Thomas, and of Sarah A. Thomas, of Woolford, Alberta, Canada."
1808686,THOMAS,THOMAS JOSEPH,T J,23,,12/02/1942,,Flight Sergeant,Royal Canadian Air Force,,419 Sqdn.,United Kingdom,'R/67674',RUNNYMEDE MEMORIAL,Panel 107.,"Son of Gwen Thomas, and stepson of Gordon Wigfield, of Leamington, Ontario, Canada."
2046406,THOMAS,KENNETH GEORGE,K G,21,,07/03/1945,,Flying Officer,Royal Canadian Air Force,,171 (R.A.F.) Sqdn,Germany,'J/36319',REICHSWALD FOREST WAR CEMETERY,18. G. 10.,"Son of Victor Verne Thomas and Joyce Annie Julia Thomas, of Toronto, Ontario, Canada; husband of Joyce Gladys Jane Thomas."
2060356,THOMAS,DONALD,D,22,,06/06/1944,,Rifleman,"Regina Rifle Regiment, R.C.I.C.",,,France,'L/27406',"BENY-SUR-MER CANADIAN WAR CEMETERY, REVIERS",V. A. 11.,"Husband of Jean Thomas, of Truro, Nova Scotia."
2060357,THOMAS,ERNEST,E,21,,08/07/1944,,Private,"Canadian Scottish Regiment, R.C.I.C.",,,France,'K/71727',"BENY-SUR-MER CANADIAN WAR CEMETERY, REVIERS",VI. E. 7.,"Son of Alec and Lucy Thomas, of Kamloops, British Columbia."
2060358,THOMAS,EVERETT LLOYD,E L,20,,04/07/1944,,Private,"North Shore (New Brunswick) Regiment, R.C.I.C.",,,France,'F/82487',"BENY-SUR-MER CANADIAN WAR CEMETERY, REVIERS",X. A. 10.,"Son of Frederick Elwood Thomas and Annie Elizabeth Thomas, of Breadalbane, Prince Edward Island."
2060359,THOMAS,FRANK MACDONALD,F M,21,,08/07/1944,,Flying Officer,Royal Canadian Air Force,,439 Sqdn.,France,'J/20648',"BENY-SUR-MER CANADIAN WAR CEMETERY, REVIERS",X. E. 12.,"Son of Ronald F. and Olive A. Thomas, of Oakville, Ontario."
2060360,THOMAS,GEORGE WESLEY,G W,29,,10/06/1944,,Lieutenant,"Regina Rifle Regiment, R.C.I.C.",,,France,,"BENY-SUR-MER CANADIAN WAR CEMETERY, REVIERS",IV. E. 15.,"Son of Wilburt and Alice Thomas; husband of Katherine Ruth Thomas, of Medicine Hat, Alberta."
2060361,THOMAS,HECTOR ORTON,H O,,,05/07/1944,,Rifleman,"Royal Winnipeg Rifles, R.C.I.C.",,,France,'H/10854',"BENY-SUR-MER CANADIAN WAR CEMETERY, REVIERS",X. H. 13.,
