id,surname,forename,initials,age_text,honours,date_of_death,date_of_death2,rank,regiment,secondary_regiment,unitshipsquadron,country,servicenumberexport,cemeterymemorial,gravereference,additionalinformation,
1808639,THOMAS,CHARLES RICHARD,C R,27,,23/06/1943,,Flying Officer,Royal Canadian Air Force,,,United Kingdom,'J/13729',RUNNYMEDE MEMORIAL,Panel 175.,"Son of George and Louisa Thomas, of Vancouver, British Columbia, Canada."
1808648,THOMAS,EDWARD,E,,,04/06/1942,,Flight Sergeant,Royal Canadian Air Force,,415 Sqdn.,United Kingdom,'R/70743',RUNNYMEDE MEMORIAL,Panel 107.,
1808683,THOMAS,SETH MARK,S M,24,,13/12/1942,,Flight Sergeant,Royal Canadian Air Force,,,United Kingdom,'R/92802',RUNNYMEDE MEMORIAL,Panel 107.,"Son of Seth H. Thomas, and of Sarah A. Thomas, of Woolford, Alberta, Canada."
1808686,THOMAS,THOMAS JOSEPH,T J,23,,12/02/1942,,Flight Sergeant,Royal Canadian Air Force,,419 Sqdn.,United Kingdom,'R/67674',RUNNYMEDE MEMORIAL,Panel 107.,"Son of Gwen Thomas, and stepson of Gordon Wigfield, of Leamington, Ontario, Canada."
2046406,THOMAS,KENNETH GEORGE,K G,21,,07/03/1945,,Flying Officer,Royal Canadian Air Force,,171 (R.A.F.) Sqdn,Germany,'J/36319',REICHSWALD FOREST WAR CEMETERY,18. G. 10.,"Son of Victor Verne Thomas and Joyce Annie Julia Thomas, of Toronto, Ontario, Canada; husband of Joyce Gladys Jane Thomas."
2060359,THOMAS,FRANK MACDONALD,F M,21,,08/07/1944,,Flying Officer,Royal Canadian Air Force,,439 Sqdn.,France,'J/20648',"BENY-SUR-MER CANADIAN WAR CEMETERY, REVIERS",X. E. 12.,"Son of Ronald F. and Olive A. Thomas, of Oakville, Ontario."
2088093,THOMAS,LLOYD DUNCAN,L D,28,D F C,18/04/1944,,Flight Lieutenant,Royal Canadian Air Force,,5 (R.A.F.) Sqdn,Myanmar,'J/5473',TAUKKYAN WAR CEMETERY,19. G. 10.,"Son of Charles S. Thomas and Marjorie Thomas, of Detroit, Michigan, U.S.A."
2101149,THOMAS,EDWIN HORTON,E H,28,D F M,14/01/1944,,Flying Officer,Royal Canadian Air Force,,514 (R.A.F.) Sqdn.,Germany,'J/18090',HANOVER WAR CEMETERY,Coll. grave 1. A. 8-9.,"Son of George and Louisa Thomas, of Vancouver, British Columbia, Canada."
2181151,THOMAS,WILLIAM PYLE,W P,26,,17/07/1945,,Flying Officer,Royal Canadian Air Force,,358 (R.A.F.) Sqdn,Bangladesh,'J/45162',CHITTAGONG WAR CEMETERY,3. E. 2.,"Son of William and Florence Thomas; husband of Dorothy Elsie Thomas (nee Taylor), of Verdun, Province of Quebec, Canada."
2256065,THOMAS,DOUGLAS OSBORNE,D O,22,,13/05/1944,,Pilot Officer,Royal Canadian Air Force,,640 (R.A.F.) Sqdn,Belgium,'J/87559',SCHOONSELHOF CEMETERY,IVa. E. 36-42 (Coll.),"Son of Harold E. Thomas, and of Agnes T. Thomas, of Toronto, Ontario, Canada."
2265403,THOMAS,GEORGE WILFRID,G W,22,,07/08/1945,,Leading Aircraftman,Royal Canadian Air Force,,,Canada,'R/196172',SUDBURY LA SALLE CEMETERY,Sec. 1. Lot 1005. Grave 2.,"Son of George and Martha Thomas; brother of Charlie A. Thomas, of Wahnapitae."
2265995,THOMAS,CYRIL HAROLD,C H,26,,22/06/1944,,Flight Sergeant,Royal Canadian Air Force,,,Canada,'R/ 165179',TORONTO (PROSPECT) CEMETERY,Naval and Mil. Plot. Sec. 1. Grave 511.,"Son of Arthur Edward and Ida May Thomas, of Toronto, husband of Elizabeth Thomas, of Toronto."
2266206,THOMAS,YESTYN LLEWELLYN,Y L,22,,18/11/1943,,Pilot Officer,Royal Canadian Air Force,,,Canada,'J/27202',WHITBY (MOUNT LAWN) CEMETERY,Sec.G. Plot 1. Lot 24. Block 6.,"Son of David John and Mildred Thomas, of Whitby."
2280539,THOMAS,WILBERT HARRY,W H,21,,23/10/1942,,Flying Officer,Royal Canadian Air Force,,158 (R.A.F.) Sqdn.,France,'J/9551',PIHEN-LES-GUINES WAR CEMETERY,1. A. 9.,"Son of William Daniel and Edith Alimina Thomas, of Toronto, Ontario, Canada."
2317479,THOMAS,ARTHUR EVANS COSDETT,A E C,21,,28/06/1944,,Pilot Officer,Royal Canadian Air Force,,106 (R.A.F.) Sqdn.,France,'J/88633',"DIEPPE CANADIAN WAR CEMETERY, HAUTOT-SUR-MER",M. 14.,"Son of David C. and Mary J. Thomas, of Winnipeg, Manitoba."
2457459,THOMAS,KENNETH BRANT,K B,25,,12/09/1943,,Flying Officer,Royal Canadian Air Force,,,United Kingdom,'J/20595',"BOWMORE NEW PARISH CHURCHYARD, ISLE OF ISLAY",Grave 642.,
2458649,THOMAS,LLOYD GEORGE DENNIS,L G D,19,,23/05/1942,,Pilot Officer,Royal Canadian Air Force,,404 Sqdn.,United Kingdom,'J/15219',DYCE OLD CHURCHYARD,Grave 23.,"Son of Gordon and Olive Thomas, of Hamilton, Ontario, Canada."
2624202,THOMAS,ROBERT,R,,,14/05/1944,,Pilot Officer,Royal Canadian Air Force,,433 Sqdn.,United Kingdom,'J/86485',HARROGATE (STONEFALL) CEMETERY,Sec. B. Row C. Grave 6.,
2635031,THOMAS,LLEWELLYN MORGANOG,L M,,,11/05/1945,,Leading Aircraftman,Royal Canadian Air Force,,,Netherlands,'R/251263',ROTTERDAM (CROOSWIJK) GENERAL CEMETERY,Plot LL. Row 2. Grave 63.,"Son of John Anthony and Annie Thomas; stepson of Katharine Thomas, of Toronto, Ontario, Canada."
2661657,THOMAS,JOHN RUSSELL,J R,,,21/09/1944,,Flying Officer,Royal Canadian Air Force,,620 (R.A.F.) Sqdn,Netherlands,'J/29874',ARNHEM OOSTERBEEK WAR CEMETERY,21. C. 15.,
2763699,THOMAS,ARTHUR ROY,A R,21,,13/06/1942,,Sergeant,Royal Canadian Air Force,,407 Sqdn.,United Kingdom,'R/64925',GREAT BIRCHAM (ST. MARY) CHURCHYARD,Plot 1. Row 3. Grave 8.,"Son of Walter E. Thomas and Blanche M. Thomas, of St. Andrews, Charlotte Co., New Brunswick, Canada."
2850142,THOMAS,RONALD ANTHONY,R A,28,,19/06/1945,,Sergeant,Royal Canadian Air Force,,,Canada,'4240',MANNVILLE NEW CEMETERY,Lot 1. Block O.,"Son of Harry and Mary Thomas, of Mannville; husband of Louise Thomas, of Peace River."
2850860,THOMAS,MAX,M,23,,15/09/1946,,Flying Officer,Royal Canadian Air Force,,,Canada,'J/92977',SASKATOON (WOODLAWN) CEMETERY,Block K. Lot 121. Grave 12955.,"Son of B. Eugenie Thomas, of Saskatoon."
2929183,THOMAS,WILLIAM EVANS,W E,24,,12/08/1945,,Flight Lieutenant,Royal Canadian Air Force,,3 (R.A.F.) Sqdn,United Kingdom,'J/14456',BROOKWOOD MILITARY CEMETERY,61. D. 2.,"Son of Harding Pierce Thomas and Elizabeth Florence Evans Thomas of Toronto, Ontario, Canada; husband of Ruth Burton Thomas, of Toronto."
2953724,THOMAS,LESLIE EDMUND,L E,21,,08/01/1943,,Sergeant,Royal Canadian Air Force,,,Canada,'R/104036',SACKVILLE (ST. JOHN'S) CEMETERY,Family Plot.,"Son of Edmund N. Thomas and Violet Grace Thomas, of Lower Sackville."
